hue,value,chroma,r,g,b
7.5PB,3,13,50,60,157
7.5PB,3,15,50,55,169
7.5PB,3,17,50,50,180
7.5PB,3,19,52,44,189
7.5PB,3,21,54,36,199
7.5PB,3,23,57,22,210
10PB,3,3,74,69,94
10PB,3,5,75,66,106
10PB,3,7,76,63,117
10PB,3,9,78,60,129
10PB,3,11,80,56,140
10PB,3,13,82,51,150
10PB,3,15,86,44,161
10PB,3,17,89,35,170
10PB,3,19,93,23,179
2.5P,3,3,79,67,93
2.5P,3,5,83,64,104
2.5P,3,7,87,60,114
2.5P,3,9,91,55,124
2.5P,3,11,96,49,133
2.5P,3,13,100,42,142
2.5P,3,15,105,32,151
2.5P,3,17,110,15,160
5P,3,3,83,66,91
5P,3,5,88,62,100
5P,3,7,94,57,109
5P,3,9,100,51,118
5P,3,11,106,44,127
5P,3,13,112,34,136
5P,3,15,118,18,144
7.5P,3,3,86,65,88
7.5P,3,5,93,60,96
7.5P,3,7,101,54,104
7.5P,3,9,108,47,113
7.5P,3,11,114,38,121
7.5P,3,13,121,24,129
10P,3,3,89,64,85
10P,3,5,98,59,92
10P,3,7,106,52,99
10P,3,9,114,43,106
10P,3,11,122,31,113
2.5RP,3,3,92,64,81
2.5RP,3,5,102,57,86
2.5RP,3,7,112,49,91
2.5RP,3,9,121,39,96
2.5RP,3,11,130,24,102
5RP,3,3,94,63,76
5RP,3,5,106,56,79
5RP,3,7,117,47,83
5RP,3,9,127,36,86
7.5RP,3,3,96,62,73
7.5RP,3,5,108,55,74
7.5RP,3,7,120,46,75
7.5RP,3,9,131,33,77
10RP,4,3,122,88,93
10RP,4,5,135,81,91
10RP,4,7,148,73,89
10RP,4,9,160,64,88
10RP,4,11,171,52,87
10RP,4,13,182,34,86
2.5R,4,3,122,88,90
2.5R,4,5,137,81,86
2.5R,4,7,150,73,82
2.5R,4,9,162,64,79
2.5R,4,11,173,52,75
2.5R,4,13,184,33,72
5R,4,3,123,88,86
5R,4,5,138,81,80
5R,4,7,151,74,73
5R,4,9,162,65,67
5R,4,11,173,54,61
5R,4,13,184,37,55
7.5R,4,3,124,88,84
7.5R,4,5,138,81,75
7.5R,4,7,151,74,66
7.5R,4,9,162,66,57
7.5R,4,11,173,56,48
7.5R,4,13,183,42,38
10R,4,3,124,89,80
10R,4,5,138,83,68
10R,4,7,150,76,56
10R,4,9,161,69,43
10R,4,11,170,60,27
2.5YR,4,3,123,89,76
2.5YR,4,5,136,84,62
2.5YR,4,7,147,79,46
2.5YR,4,9,156,73,26
5YR,4,3,121,90,72
5YR,4,5,133,86,55
5YR,4,7,142,82,37
7.5YR,4,3,120,91,68
7.5YR,4,5,130,88,49
7.5YR,4,7,137,85,27
10YR,4,3,116,93,65
10YR,4,5,125,91,43
2.5Y,4,3,112,95,62
2.5Y,4,5,120,93,38
5Y,4,3,108,96,61
5Y,4,5,114,95,35
7.5Y,4,3,105,98,60
7.5Y,4,5,108,98,32
10Y,4,3,100,99,61
10Y,4,5,102,100,32
2.5GY,4,3,95,100,64
2.5GY,4,5,94,102,37
5GY,4,3,91,101,67
5GY,4,5,86,104,44
7.5GY,4,3,84,102,73
7.5GY,4,5,74,105,55
7.5GY,4,7,63,108,32
10GY,4,3,79,103,78
10GY,4,5,64,107,64
10GY,4,7,45,110,49
2.5G,4,3,73,104,84
2.5G,4,5,50,108,76
5G,4,3,70,104,88
5G,4,5,41,109,82
7.5G,4,3,68,104,91
7.5G,4,5,30,109,87
10G,4,3,66,104,94
2.5BG,4,3,63,104,97
5BG,4,3,62,104,101
7.5BG,4,3,61,104,104
10BG,4,3,61,104,108
2.5B,4,3,62,103,111
5B,4,3,66,102,113
7.5B,4,3,70,101,115
7.5B,4,5,42,104,128
10B,4,3,75,100,116
10B,4,5,54,102,129
2.5PB,4,3,80,99,117
2.5PB,4,5,66,100,130
2.5PB,4,7,43,100,144
5PB,4,3,86,97,118
5PB,4,5,76,98,131
5PB,4,7,63,98,145
5PB,4,9,43,98,158
7.5PB,4,3,92,95,118
7.5PB,4,5,89,94,131
7.5PB,4,7,85,93,144
7.5PB,4,9,80,92,157
7.5PB,4,11,74,90,170
7.5PB,4,13,70,88,183
7.5PB,4,15,66,85,195
7.5PB,4,17,63,82,208
7.5PB,4,19,61,77,222
7.5PB,4,21,61,72,233
7.5PB,4,23,62,66,244
7.5PB,4,25,64,59,252
10PB,4,3,98,94,118
10PB,4,5,98,92,130
10PB,4,7,99,89,142
10PB,4,9,100,87,154
10PB,4,11,101,84,166
10PB,4,13,102,80,177
10PB,4,15,104,75,188
10PB,4,17,107,70,198
10PB,4,19,111,63,210
10PB,4,21,114,56,220
10PB,4,23,118,47,229
10PB,4,25,122,32,239
2.5P,4,3,102,92,116
2.5P,4,5,106,90,127
2.5P,4,7,110,87,138
2.5P,4,9,114,83,148
2.5P,4,11,118,78,159
2.5P,4,13,122,73,169
2.5P,4,15,127,66,178
2.5P,4,17,132,59,188
2.5P,4,19,137,49,198
2.5P,4,21,142,36,207
5P,4,3,106,92,114
5P,4,5,112,88,124
5P,4,7,117,84,133
5P,4,9,123,79,143
5P,4,11,129,74,152
5P,4,13,135,67,161
5P,4,15,141,59,170
5P,4,17,147,49,179
5P,4,19,153,35,188
7.5P,4,3,110,91,111
7.5P,4,5,118,86,120
7.5P,4,7,125,81,128
7.5P,4,9,132,76,136
7.5P,4,11,139,69,144
7.5P,4,13,146,61,152
7.5P,4,15,154,50,160
7.5P,4,17,161,35,169
10P,4,3,114,89,108
10P,4,5,123,84,115
10P,4,7,132,79,122
10P,4,9,140,72,128
10P,4,11,148,65,135
10P,4,13,156,55,142
10P,4,15,164,42,148
2.5RP,4,3,116,89,104
2.5RP,4,5,127,83,109
2.5RP,4,7,138,76,114
2.5RP,4,9,147,69,119
2.5RP,4,11,156,60,124
2.5RP,4,13,165,48,129
2.5RP,4,15,174,31,134
5RP,4,3,119,89,100
5RP,4,5,131,82,102
5RP,4,7,143,75,105
5RP,4,9,153,67,107
5RP,4,11,163,56,110
5RP,4,13,173,42,113
7.5RP,4,3,121,88,97
7.5RP,4,5,134,81,97
7.5RP,4,7,147,74,97
7.5RP,4,9,158,65,97
7.5RP,4,11,168,54,98
7.5RP,4,13,178,38,99
10RP,5,3,147,115,118
10RP,5,5,162,108,116
10RP,5,7,176,101,113
10RP,5,9,189,92,111
10RP,5,11,201,82,109
10RP,5,13,213,70,108
10RP,5,15,224,54,107
2.5R,5,3,147,115,116
2.5R,5,5,163,108,111
2.5R,5,7,177,101,106
2.5R,5,9,190,92,102
2.5R,5,11,203,82,98
2.5R,5,13,215,70,94
2.5R,5,15,226,54,91
5R,5,3,148,115,113
5R,5,5,164,108,105
5R,5,7,178,101,98
5R,5,9,191,92,91
5R,5,11,204,82,84
5R,5,13,216,71,78
5R,5,15,226,56,71
5R,5,17,238,27,64
7.5R,5,3,148,115,110
7.5R,5,5,164,108,100
7.5R,5,7,179,101,90
7.5R,5,9,192,93,80
7.5R,5,11,204,84,69
7.5R,5,13,215,73,59
7.5R,5,15,225,60,48
7.5R,5,17,235,42,36
10R,5,3,149,115,105
10R,5,5,164,109,92
10R,5,7,178,103,79
10R,5,9,190,96,65
10R,5,11,201,88,48
10R,5,13,211,80,29
2.5YR,5,3,148,115,102
2.5YR,5,5,163,110,87
2.5YR,5,7,176,105,70
2.5YR,5,9,186,99,51
2.5YR,5,11,195,94,28
5YR,5,3,147,117,97
5YR,5,5,160,112,79
5YR,5,7,171,108,60
5YR,5,9,180,104,37
7.5YR,5,3,145,117,94
7.5YR,5,5,157,114,74
7.5YR,5,7,167,111,51
10YR,5,3,142,119,90
10YR,5,5,152,116,67
10YR,5,7,160,114,41
2.5Y,5,3,138,120,87
2.5Y,5,5,147,119,61
2.5Y,5,7,153,117,30
5Y,5,3,134,122,85
5Y,5,5,141,121,58
7.5Y,5,3,131,124,85
7.5Y,5,5,135,124,56
10Y,5,3,127,125,85
10Y,5,5,129,126,57
2.5GY,5,3,121,126,88
2.5GY,5,5,120,128,62
5GY,5,3,117,127,92
5GY,5,5,112,130,68
5GY,5,7,108,132,39
7.5GY,5,3,110,128,97
7.5GY,5,5,101,132,79
7.5GY,5,7,91,135,58
7.5GY,5,9,80,137,28
10GY,5,3,104,130,103
10GY,5,5,91,133,88
10GY,5,7,75,137,73
10GY,5,9,53,140,56
2.5G,5,3,98,130,108
2.5G,5,5,79,135,99
2.5G,5,7,51,138,90
5G,5,3,95,130,113
5G,5,5,72,135,107
7.5G,5,3,93,130,116
7.5G,5,5,67,135,112
10G,5,3,91,130,119
10G,5,5,63,135,117
2.5BG,5,3,89,130,122
2.5BG,5,5,59,135,122
5BG,5,3,88,130,126
5BG,5,5,54,135,129
7.5BG,5,3,88,130,130
7.5BG,5,5,51,134,134
10BG,5,3,88,130,133
10BG,5,5,50,134,141
2.5B,5,3,90,129,136
2.5B,5,5,54,133,145
5B,5,3,93,128,138
5B,5,5,63,131,150
7.5B,5,3,97,127,140
7.5B,5,5,73,130,153
10B,5,3,101,126,141
10B,5,5,82,128,154
10B,5,7,53,130,168
2.5PB,5,3,107,125,142
2.5PB,5,5,93,126,156
2.5PB,5,7,75,127,170
2.5PB,5,9,46,128,184
5PB,5,3,112,123,143
5PB,5,5,103,124,157
5PB,5,7,91,124,171
5PB,5,9,76,124,185
5PB,5,11,52,125,199
7.5PB,5,3,118,122,142
7.5PB,5,5,114,121,156
7.5PB,5,7,110,120,170
7.5PB,5,9,105,118,183
7.5PB,5,11,100,117,197
7.5PB,5,13,93,116,211
7.5PB,5,15,86,114,225
7.5PB,5,17,80,111,239
7.5PB,5,19,74,107,251
10PB,5,3,123,120,142
10PB,5,5,123,118,155
10PB,5,7,124,116,168
10PB,5,9,124,113,180
10PB,5,11,124,110,192
10PB,5,13,125,107,205
10PB,5,15,126,104,218
10PB,5,17,128,100,229
10PB,5,19,130,95,241
10PB,5,21,133,89,251
2.5P,5,3,127,119,141
2.5P,5,5,130,116,153
2.5P,5,7,134,113,165
2.5P,5,9,138,109,176
2.5P,5,11,142,106,186
2.5P,5,13,146,101,197
2.5P,5,15,151,96,207
2.5P,5,17,155,90,217
2.5P,5,19,160,83,227
2.5P,5,21,165,75,238
2.5P,5,23,170,65,248
2.5P,5,25,176,51,254
5P,5,3,131,118,138
5P,5,5,137,115,149
5P,5,7,143,111,160
5P,5,9,148,106,170
5P,5,11,154,101,180
5P,5,13,160,96,189
5P,5,15,166,90,198
5P,5,17,172,83,207
5P,5,19,178,74,216
5P,5,21,184,63,226
5P,5,23,190,48,235
5P,5,25,197,20,244
7.5P,5,3,135,117,135
7.5P,5,5,143,112,144
7.5P,5,7,152,107,153
7.5P,5,9,159,102,162
7.5P,5,11,166,96,170
7.5P,5,13,174,89,178
7.5P,5,15,181,82,186
7.5P,5,17,188,72,194
7.5P,5,19,196,60,203
7.5P,5,21,204,43,211
10P,5,3,138,116,132
10P,5,5,148,111,139
10P,5,7,159,105,146
10P,5,9,168,99,153
10P,5,11,176,92,160
10P,5,13,185,84,167
10P,5,15,193,75,173
10P,5,17,202,63,180
10P,5,19,210,46,187
2.5RP,5,3,141,116,129
2.5RP,5,5,153,110,134
2.5RP,5,7,165,103,139
2.5RP,5,9,175,96,144
2.5RP,5,11,185,88,148
2.5RP,5,13,195,79,153
2.5RP,5,15,204,68,158
2.5RP,5,17,213,53,163
2.5RP,5,19,222,25,168
5RP,5,3,144,115,125
5RP,5,5,157,109,127
5RP,5,7,170,102,129
5RP,5,9,182,94,131
5RP,5,11,193,85,133
5RP,5,13,204,74,136
5RP,5,15,215,60,138
5RP,5,17,225,40,141
7.5RP,5,3,145,115,121
7.5RP,5,5,160,108,121
7.5RP,5,7,173,101,121
7.5RP,5,9,186,93,121
7.5RP,5,11,198,83,121
7.5RP,5,13,209,71,122
7.5RP,5,15,219,57,123
7.5RP,5,17,230,32,124
10RP,6,3,172,141,144
10RP,6,5,188,135,141
10RP,6,7,202,128,138
10RP,6,9,215,121,136
10RP,6,11,228,112,133
10RP,6,13,241,102,131
10RP,6,15,251,89,129
10RP,6,17,255,73,127
2.5R,6,3,173,141,141
2.5R,6,5,190,135,136
2.5R,6,7,204,128,131
2.5R,6,9,218,121,126
2.5R,6,11,231,112,121
2.5R,6,13,243,102,117
2.5R,6,15,252,89,113
2.5R,6,17,255,73,109
5R,6,3,174,141,139
5R,6,5,191,135,131
5R,6,7,205,128,124
5R,6,9,219,121,117
5R,6,11,232,112,109
5R,6,13,245,102,102
5R,6,15,253,90,95
5R,6,17,255,76,88
7.5R,6,3,175,141,135
7.5R,6,5,191,135,125
7.5R,6,7,206,128,116
7.5R,6,9,220,121,105
7.5R,6,11,233,113,94
7.5R,6,13,244,104,83
7.5R,6,15,252,94,71
7.5R,6,17,255,81,58
10R,6,3,175,141,131
10R,6,5,191,136,118
10R,6,7,205,130,105
10R,6,9,218,123,91
10R,6,11,230,116,75
10R,6,13,241,109,57
10R,6,15,251,101,33
2.5YR,6,3,175,142,127
2.5YR,6,5,190,137,112
2.5YR,6,7,203,131,96
2.5YR,6,9,215,126,78
2.5YR,6,11,225,121,58
2.5YR,6,13,234,115,28
5YR,6,3,174,143,122
5YR,6,5,187,139,104
5YR,6,7,199,134,85
5YR,6,9,209,130,64
5YR,6,11,217,126,37
7.5YR,6,3,172,144,119
7.5YR,6,5,184,140,99
7.5YR,6,7,194,137,76
7.5YR,6,9,203,134,50
10YR,6,3,168,145,115
10YR,6,5,179,143,92
10YR,6,7,188,141,67
10YR,6,9,195,139,35
2.5Y,6,3,165,147,112
2.5Y,6,5,174,145,87
2.5Y,6,7,181,144,59
5Y,6,3,160,149,109
5Y,6,5,167,148,83
5Y,6,7,172,147,52
7.5Y,6,3,157,150,109
7.5Y,6,5,161,150,81
7.5Y,6,7,164,151,48
10Y,6,3,153,151,109
10Y,6,5,155,152,82
10Y,6,7,157,153,48
2.5GY,6,3,148,153,111
2.5GY,6,5,147,154,85
2.5GY,6,7,146,156,54
5GY,6,3,143,153,114
5GY,6,5,139,156,91
5GY,6,7,134,159,65
7.5GY,6,3,135,155,120
7.5GY,6,5,126,158,102
7.5GY,6,7,117,161,81
7.5GY,6,9,106,164,56
10GY,6,3,129,156,126
10GY,6,5,116,160,111
10GY,6,7,101,164,96
10GY,6,9,83,167,80
10GY,6,11,60,170,62
2.5G,6,3,123,157,133
2.5G,6,5,104,162,123
2.5G,6,7,82,166,113
2.5G,6,9,44,169,104
5G,6,3,119,157,137
5G,6,5,96,162,131
5G,6,7,67,166,125
7.5G,6,3,117,157,140
7.5G,6,5,92,162,136
7.5G,6,7,57,166,133
10G,6,3,115,157,144
10G,6,5,88,162,142
10G,6,7,42,167,140
2.5BG,6,3,113,157,147
2.5BG,6,5,85,162,147
5BG,6,3,112,157,152
5BG,6,5,81,162,154
7.5BG,6,3,112,157,155
7.5BG,6,5,79,162,160
10BG,6,3,113,156,159
10BG,6,5,80,161,166
2.5B,6,3,115,156,161
2.5B,6,5,83,160,171
5B,6,3,119,155,164
5B,6,5,91,158,175
7.5B,6,3,123,153,166
7.5B,6,5,100,156,178
7.5B,6,7,66,159,191
10B,6,3,128,152,166
10B,6,5,109,155,180
10B,6,7,85,157,194
2.5PB,6,3,133,151,167
2.5PB,6,5,120,152,181
2.5PB,6,7,103,153,196
2.5PB,6,9,82,154,211
5PB,6,3,138,149,168
5PB,6,5,129,150,182
5PB,6,7,118,150,197
5PB,6,9,104,151,212
5PB,6,11,84,151,227
5PB,6,13,47,152,243
7.5PB,6,3,144,148,168
7.5PB,6,5,140,147,182
7.5PB,6,7,135,146,196
7.5PB,6,9,130,145,210
7.5PB,6,11,124,144,225
7.5PB,6,13,117,142,241
10PB,6,3,149,147,167
10PB,6,5,148,145,181
10PB,6,7,148,143,194
10PB,6,9,148,141,206
10PB,6,11,148,138,220
10PB,6,13,148,135,235
10PB,6,15,149,131,248
2.5P,6,3,152,145,166
2.5P,6,5,155,143,178
2.5P,6,7,159,140,191
2.5P,6,9,162,136,203
2.5P,6,11,166,133,214
2.5P,6,13,171,128,226
2.5P,6,15,176,123,238
2.5P,6,17,181,118,249
5P,6,3,156,144,164
5P,6,5,162,141,175
5P,6,7,167,137,186
5P,6,9,173,133,196
5P,6,11,179,129,207
5P,6,13,185,124,217
5P,6,15,191,118,228
5P,6,17,197,111,238
5P,6,19,203,104,248
7.5P,6,3,161,143,161
7.5P,6,5,169,139,170
7.5P,6,7,178,134,179
7.5P,6,9,186,129,187
7.5P,6,11,194,124,196
7.5P,6,13,202,117,204
7.5P,6,15,210,110,213
7.5P,6,17,217,102,221
7.5P,6,19,225,92,231
7.5P,6,21,234,78,240
7.5P,6,23,243,61,249
10P,6,3,164,143,158
10P,6,5,174,138,165
10P,6,7,184,132,172
10P,6,9,194,127,178
10P,6,11,203,120,185
10P,6,13,213,112,192
10P,6,15,222,104,199
10P,6,17,231,95,206
10P,6,19,240,82,214
10P,6,21,249,66,221
10P,6,23,254,43,228
2.5RP,6,3,167,142,155
2.5RP,6,5,179,137,159
2.5RP,6,7,190,131,164
2.5RP,6,9,201,124,168
2.5RP,6,11,212,117,173
2.5RP,6,13,223,108,178
2.5RP,6,15,234,98,183
2.5RP,6,17,244,87,188
2.5RP,6,19,252,72,193
2.5RP,6,21,255,52,198
5RP,6,3,169,141,150
5RP,6,5,183,135,152
5RP,6,7,197,129,154
5RP,6,9,208,122,155
5RP,6,11,220,114,157
5RP,6,13,232,105,160
5RP,6,15,243,94,162
5RP,6,17,252,80,165
5RP,6,19,255,60,168
5RP,6,21,255,25,171
7.5RP,6,3,170,141,147
7.5RP,6,5,186,135,146
7.5RP,6,7,200,129,146
7.5RP,6,9,212,122,146
7.5RP,6,11,225,113,146
7.5RP,6,13,237,103,146
7.5RP,6,15,249,91,147
7.5RP,6,17,255,76,147
7.5RP,6,19,255,54,149
10RP,7,3,198,168,170
10RP,7,5,214,162,167
10RP,7,7,230,155,164
10RP,7,9,245,147,160
10RP,7,11,253,138,157
10RP,7,13,255,128,155
10RP,7,15,255,116,152
2.5R,7,3,199,168,168
2.5R,7,5,216,161,162
2.5R,7,7,232,154,157
2.5R,7,9,247,147,151
2.5R,7,11,254,138,146
2.5R,7,13,255,128,140
2.5R,7,15,255,116,135
5R,7,3,200,168,165
5R,7,5,217,161,157
5R,7,7,233,154,149
5R,7,9,248,147,142
5R,7,11,255,138,134
5R,7,13,255,129,126
7.5R,7,3,202,168,161
7.5R,7,5,218,162,151
7.5R,7,7,234,155,140
7.5R,7,9,249,148,129
7.5R,7,11,255,140,118
7.5R,7,13,255,131,106
7.5R,7,15,255,121,93
10R,7,3,202,168,157
10R,7,5,219,162,144
10R,7,7,234,156,130
10R,7,9,248,150,116
10R,7,11,254,143,100
10R,7,13,255,136,82
10R,7,15,255,128,61
2.5YR,7,3,201,168,153
2.5YR,7,5,217,163,136
2.5YR,7,7,232,158,120
2.5YR,7,9,244,153,103
2.5YR,7,11,252,147,83
2.5YR,7,13,255,142,58
5YR,7,3,200,169,148
5YR,7,5,215,165,129
5YR,7,7,227,161,110
5YR,7,9,238,157,90
5YR,7,11,248,153,65
7.5YR,7,3,199,170,144
7.5YR,7,5,212,167,123
7.5YR,7,7,222,164,102
7.5YR,7,9,231,161,78
7.5YR,7,11,239,158,47
10YR,7,3,196,172,139
10YR,7,5,207,170,116
10YR,7,7,216,167,92
10YR,7,9,223,165,65
2.5Y,7,3,192,173,137
2.5Y,7,5,201,172,112
2.5Y,7,7,208,170,85
2.5Y,7,9,214,169,53
5Y,7,3,187,175,134
5Y,7,5,193,175,107
5Y,7,7,199,174,79
5Y,7,9,204,174,40
7.5Y,7,3,183,176,133
7.5Y,7,5,188,177,106
7.5Y,7,7,191,177,77
10Y,7,3,180,177,134
10Y,7,5,182,178,107
10Y,7,7,184,179,77
2.5GY,7,3,174,179,135
2.5GY,7,5,174,181,110
2.5GY,7,7,173,182,82
2.5GY,7,9,172,184,39
5GY,7,3,170,180,138
5GY,7,5,166,183,115
5GY,7,7,162,185,90
5GY,7,9,158,187,58
7.5GY,7,3,161,182,145
7.5GY,7,5,153,185,126
7.5GY,7,7,144,188,106
7.5GY,7,9,134,191,83
7.5GY,7,11,123,194,53
10GY,7,3,155,183,151
10GY,7,5,142,187,136
10GY,7,7,128,191,121
10GY,7,9,112,194,104
10GY,7,11,92,198,86
10GY,7,13,66,201,66
2.5G,7,3,148,184,158
2.5G,7,5,131,188,148
2.5G,7,7,110,193,138
2.5G,7,9,83,197,127
5G,7,3,145,184,163
5G,7,5,124,189,156
5G,7,7,98,193,150
5G,7,9,54,198,145
7.5G,7,3,143,184,166
7.5G,7,5,120,189,162
7.5G,7,7,91,193,158
10G,7,3,141,184,170
10G,7,5,116,189,167
10G,7,7,83,194,165
2.5BG,7,3,140,184,173
2.5BG,7,5,114,189,172
2.5BG,7,7,77,193,172
5BG,7,3,138,184,177
5BG,7,5,111,189,179
5BG,7,7,69,193,181
7.5BG,7,3,138,183,181
7.5BG,7,5,110,188,185
7.5BG,7,7,64,193,189
10BG,7,3,139,183,185
10BG,7,5,110,188,191
10BG,7,7,62,192,198
2.5B,7,3,141,182,187
2.5B,7,5,113,187,196
2.5B,7,7,69,190,206
5B,7,3,145,181,190
5B,7,5,118,185,201
5B,7,7,82,188,213
7.5B,7,3,149,180,192
7.5B,7,5,126,183,204
7.5B,7,7,96,186,218
10B,7,3,154,179,193
10B,7,5,136,181,207
10B,7,7,112,184,221
10B,7,9,76,186,236
2.5PB,7,3,159,177,194
2.5PB,7,5,146,179,208
2.5PB,7,7,129,180,223
2.5PB,7,9,107,182,239
5PB,7,3,164,176,194
5PB,7,5,154,177,208
5PB,7,7,143,177,224
5PB,7,9,128,178,240
7.5PB,7,3,170,174,194
7.5PB,7,5,165,174,209
7.5PB,7,7,160,173,224
7.5PB,7,9,155,172,240
10PB,7,3,174,173,193
10PB,7,5,174,172,208
10PB,7,7,173,170,222
10PB,7,9,173,167,237
10PB,7,11,173,164,250
2.5P,7,3,178,172,192
2.5P,7,5,181,169,205
2.5P,7,7,184,166,217
2.5P,7,9,188,163,231
2.5P,7,11,192,159,244
5P,7,3,182,171,190
5P,7,5,187,168,201
5P,7,7,193,164,213
5P,7,9,199,160,225
5P,7,11,205,155,236
5P,7,13,211,150,247
7.5P,7,3,187,170,186
7.5P,7,5,196,166,195
7.5P,7,7,204,161,204
7.5P,7,9,213,156,214
7.5P,7,11,222,150,223
7.5P,7,13,230,143,232
7.5P,7,15,239,136,241
7.5P,7,17,248,128,250
10P,7,3,190,169,183
10P,7,5,201,164,190
10P,7,7,212,159,197
10P,7,9,223,153,205
10P,7,11,232,147,212
10P,7,13,242,140,219
10P,7,15,251,131,227
10P,7,17,255,121,234
10P,7,19,255,110,242
10P,7,21,255,96,250
2.5RP,7,3,192,169,180
2.5RP,7,5,206,163,184
2.5RP,7,7,219,157,189
2.5RP,7,9,230,150,194
2.5RP,7,11,242,143,199
2.5RP,7,13,251,135,204
2.5RP,7,15,255,125,209
2.5RP,7,17,255,113,215
2.5RP,7,19,255,99,221
5RP,7,3,195,168,176
5RP,7,5,210,162,178
5RP,7,7,225,155,179
5RP,7,9,238,148,181
5RP,7,11,249,140,183
5RP,7,13,255,131,185
5RP,7,15,255,120,187
5RP,7,17,255,107,190
7.5RP,7,3,196,168,173
7.5RP,7,5,212,162,172
7.5RP,7,7,227,155,172
7.5RP,7,9,241,148,171
7.5RP,7,11,251,139,171
7.5RP,7,13,255,129,171
7.5RP,7,15,255,117,171
10RP,8,3,224,195,197
10RP,8,5,242,188,193
10RP,8,7,253,181,190
10RP,8,9,255,173,186
2.5R,8,3,225,195,194
2.5R,8,5,244,188,188
2.5R,8,7,254,181,182
2.5R,8,9,255,173,176
5R,8,3,226,195,191
5R,8,5,245,188,183
5R,8,7,254,181,174
5R,8,9,255,173,165
7.5R,8,3,228,194,188
7.5R,8,5,247,188,176
7.5R,8,7,255,181,164
7.5R,8,9,255,174,152
10R,8,3,228,195,184
10R,8,5,247,189,168
10R,8,7,255,182,153
10R,8,9,255,176,138
2.5YR,8,3,229,195,179
2.5YR,8,5,246,190,161
2.5YR,8,7,254,185,144
2.5YR,8,9,255,179,125
2.5YR,8,11,255,174,105
5YR,8,3,227,196,174
5YR,8,5,243,192,154
5YR,8,7,252,188,134
5YR,8,9,255,184,112
5YR,8,11,255,180,89
5YR,8,13,255,176,60
7.5YR,8,3,225,197,170
7.5YR,8,5,239,194,148
7.5YR,8,7,250,190,126
7.5YR,8,9,255,187,102
7.5YR,8,11,255,184,75
10YR,8,3,222,199,165
10YR,8,5,233,197,142
10YR,8,7,243,194,117
10YR,8,9,251,192,90
10YR,8,11,255,190,58
2.5Y,8,3,218,200,162
2.5Y,8,5,227,199,137
2.5Y,8,7,235,198,110
2.5Y,8,9,242,196,81
2.5Y,8,11,248,195,38
5Y,8,3,214,202,159
5Y,8,5,220,202,132
5Y,8,7,225,202,104
5Y,8,9,230,201,72
7.5Y,8,3,210,203,158
7.5Y,8,5,215,204,131
7.5Y,8,7,218,204,101
7.5Y,8,9,221,205,67
10Y,8,3,207,204,158
10Y,8,5,209,205,131
10Y,8,7,211,206,101
10Y,8,9,213,207,66
2.5GY,8,3,202,206,159
2.5GY,8,5,201,208,133
2.5GY,8,7,200,210,106
2.5GY,8,9,199,211,72
5GY,8,3,197,207,162
5GY,8,5,194,209,138
5GY,8,7,190,212,113
5GY,8,9,186,214,84
7.5GY,8,3,187,209,169
7.5GY,8,5,179,213,149
7.5GY,8,7,170,216,128
7.5GY,8,9,161,219,105
7.5GY,8,11,151,222,78
10GY,8,3,180,210,175
10GY,8,5,167,215,159
10GY,8,7,153,219,143
10GY,8,9,137,222,127
10GY,8,11,119,226,108
10GY,8,13,97,229,89
10GY,8,15,66,232,66
2.5G,8,3,174,211,183
2.5G,8,5,155,216,172
2.5G,8,7,134,221,161
2.5G,8,9,111,225,150
2.5G,8,11,75,229,139
5G,8,3,170,211,188
5G,8,5,147,217,181
5G,8,7,121,222,174
5G,8,9,87,226,168
7.5G,8,3,168,211,192
7.5G,8,5,143,217,187
7.5G,8,7,115,222,183
7.5G,8,9,73,226,179
10G,8,3,166,212,196
10G,8,5,140,217,193
10G,8,7,109,222,190
10G,8,9,56,226,188
2.5BG,8,3,164,212,199
2.5BG,8,5,138,217,198
2.5BG,8,7,104,221,197
5BG,8,3,164,211,203
5BG,8,5,136,216,204
5BG,8,7,98,221,206
7.5BG,8,3,164,211,207
7.5BG,8,5,134,216,211
7.5BG,8,7,93,221,216
10BG,8,3,165,210,211
10BG,8,5,134,215,217
10BG,8,7,92,220,224
2.5B,8,3,167,209,214
2.5B,8,5,136,214,223
2.5B,8,7,94,219,233
5B,8,3,171,208,217
5B,8,5,143,213,229
5B,8,7,104,217,242
7.5B,8,3,175,207,218
7.5B,8,5,150,211,232
7.5B,8,7,116,214,247
10B,8,3,180,205,220
10B,8,5,160,208,235
10B,8,7,133,211,249
2.5PB,8,3,186,204,221
2.5PB,8,5,170,206,237
5PB,8,3,191,203,221
5PB,8,5,179,204,238
7.5PB,8,3,196,201,221
7.5PB,8,5,191,201,237
10PB,8,3,201,200,219
10PB,8,5,200,198,235
10PB,8,7,199,196,249
2.5P,8,3,205,199,218
2.5P,8,5,207,196,233
2.5P,8,7,210,193,247
5P,8,3,208,198,216
5P,8,5,213,195,229
5P,8,7,219,191,242
5P,8,9,226,186,252
7.5P,8,3,213,197,212
7.5P,8,5,223,193,221
7.5P,8,7,232,187,231
7.5P,8,9,243,181,242
7.5P,8,11,251,175,251
10P,8,3,216,196,209
10P,8,5,228,191,217
10P,8,7,240,185,225
10P,8,9,251,179,232
10P,8,11,255,172,240
10P,8,13,255,164,248
2.5RP,8,3,218,196,206
2.5RP,8,5,233,190,211
